[8h12] - Jordan_Maxwell  : SHOW INDEXES FROM utilisateur 
[10h16] -  : SHOW INDEXES FROM classe 
[10h17] -  : SHOW INDEXES FROM classe 
[10h18] -  : SHOW INDEXES FROM classe 
[10h19] -  : SHOW INDEXES FROM classe 
[10h19] -  : SHOW INDEXES FROM classe 
[10h20] -  : SHOW INDEXES FROM classe 
[10h20] -  : SHOW INDEXES FROM classe 
[10h20] -  : SHOW INDEXES FROM classe 
[10h21] -  : SHOW INDEXES FROM classe 
[10h21] -  : SHOW INDEXES FROM classe 
[10h23] -  : SHOW INDEXES FROM classe 
[10h23] -  : SHOW INDEXES FROM classe 
[10h25] -  : SHOW INDEXES FROM classe 
[10h26] -  : SHOW INDEXES FROM classe 
[10h28] -  : SHOW INDEXES FROM classe 
[10h28] -  : SHOW INDEXES FROM classe 
[10h29] -  : SHOW INDEXES FROM classe 
[10h29] -  : SHOW INDEXES FROM classe 
[10h37] -  : SHOW INDEXES FROM classe 
[10h37] -  : SHOW INDEXES FROM classe 
[10h53] -  : SHOW INDEXES FROM classe 
[10h53] -  : SHOW INDEXES FROM classe 
[10h53] -  : SHOW INDEXES FROM classe 
[10h54] -  : SHOW INDEXES FROM classe 
[10h54] -  : SHOW INDEXES FROM classe 
[10h55] -  : SHOW INDEXES FROM classe 
[10h57] -  : SHOW INDEXES FROM classe 
[10h57] -  : SHOW INDEXES FROM classe 
[10h57] -  : SHOW INDEXES FROM classe 
[10h58] -  : SHOW INDEXES FROM classe 
[10h58] -  : SHOW INDEXES FROM classe 
[10h58] -  : SHOW INDEXES FROM classe 
[10h59] -  : SHOW INDEXES FROM classe 
[10h59] -  : SHOW INDEXES FROM classe 
[10h59] -  : SHOW INDEXES FROM classe 
[11h00] -  : SHOW INDEXES FROM classe 
[11h00] -  : SHOW INDEXES FROM classe 
[11h00] -  : SHOW INDEXES FROM classe 
[11h00] -  : SHOW INDEXES FROM classe 
[11h01] -  : SHOW INDEXES FROM classe 
[11h04] -  : SHOW INDEXES FROM classe 
[11h05] -  : SHOW INDEXES FROM classe 
[11h07] -  : SHOW INDEXES FROM classe 
[11h08] -  : SHOW INDEXES FROM classe 
[11h50] -  : SHOW INDEXES FROM classe 
[11h51] -  : SHOW INDEXES FROM classe 
[11h59] -  : SHOW INDEXES FROM classe 
[12h00] -  : SHOW INDEXES FROM classe 
[12h19] -  : SHOW INDEXES FROM classe 
[12h19] -  : SHOW INDEXES FROM classe 
[12h19] -  : SHOW INDEXES FROM classe 
[16h09] -  : SHOW INDEXES FROM classe 
